0:01.6	Kyrie – I. Kyrie eleison	Wolfgang Sawallisch, Müchner Vocalsolisten
3:30	Kyrie – II. Christe eleison	Wolfgang Sawallisch, Müchner Vocalsolisten
5:03.3	Kyrie – III. Kyrie eleison	Wolfgang Sawallisch, Müchner Vocalsolisten
8:28	Gloria – IV. Gloria in excelsis Deo	Wolfgang Sawallisch, Müchner Vocalsolisten
9:18.8	Gloria – IV. Laudamus te	Wolfgang Sawallisch, Kari Lovaas, Brigitte Fassbaender, Peter Schreier, Dietrich Fischer-Dieskau
11:08.6	Gloria – VI. Domine Deus	Wolfgang Sawallisch, Peter Schreier
14:46	Gloria – VII. Qui tollis	Wolfgang Sawallisch, Kari Lovaas, Brigitte Fassbaender
19:30	Gloria – VIII. Quoniam	Wolfgang Sawallisch, Dietrich Fischer-Dieskau
24:09.8	Gloria – IX. Cum Sancto Spiritu	Wolfgang Sawallisch, Müchner Vocalsolisten
29:02.9	Credo – X. Credo in unum Deo	Wolfgang Sawallisch, Müchner Vocalsolisten
33:22	Credo – XI. Crucifixus	Wolfgang Sawallisch, Brigitte Fassbaender
36:43.9	Credo – XII. Et resurrexit	Wolfgang Sawallisch, Müchner Vocalsolisten
45:26.9	Sanctus – XVI. Sanctus	Wolfgang Sawallisch, Kari Lovaas, Brigitte Fassbaender, Peter Schreier, Dietrich Fischer-Dieskau
49:59.6	Sanctus – XVIII. Agnus Dei	Wolfgang Sawallisch, Müchner Vocalsolisten, Brigitte Fassbaender
