1.	"I Am Your Man"	Scott Leonard	2:33
2.	"Dancin' In the Streets"	William Stevenson, Marvin Gaye	2:13
3.	"That's The Way"	Greg Clark, Scott Leonard	3:23
4.	"Let's Get Away From It All"	Tom Adair, Matt Dennis	2:15
5.	"This Isn't Love"	Scott Leonard, Greg Clark	4:36
6.	"Pretty Woman"	Roy Orbison, Bill Dees	3:04
7.	"Where in the World Is Carmen Sandiego?"	Sean Altman, David Yazbek	3:57
8.	"Blah Blah Blah"	Scott Leonard	2:51
9.	"Stand By Me"	Ben E. King, Mike Stoller, Jerry Leiber	3:14
10.	"Where Would We Be?"	Kevin Wright, Elliott Kerman	3:13
11.	"The Lion Sleeps Tonight"	Solomon Linda	2:38
12.	"Up on the Roof/Wonderful World"	Gerry Goffin, Carole King/Sam Cooke, Lou Adler, Herb Alpert	3:55
13.	"Tempted"	Chris Difford, Glenn Tilbrook	3:35
14.	"People Change"	Scott Leonard	3:41
15.	"Use Me"	Bill Withers	3:35
16.	"Dock of the Bay"	Otis Redding, Steve Cropper	3:24
17.	"Zombie Jamboree"	Conral Mauge, Jr.; Sean Altman (3rd verse lyrics)	3:40
18.	"Keep On Smilin'"	Jimmy Hall, Jack Hall, Lewis Ross, John Anthony, Ricky Hirsch	3:43
19.	"16 Tons"	Merle Travis	2:57
20.	"Moments Of You"	Scott Leonard	2:59
21.	"A Change In My Life"	Billy Straus	4:57
